Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
attracted	to fall in love, love		nude, posing	bedroom, red carpet event, locker room	
bowing	to bow		ruling, commanding, summoning	iron throne	
catering	to serve, a tray, a cocktail, ordering a drink	a tray	eating, drinking, sipping, slurping	restaurant, food truck	
charming	being charming, charm, full of charm, That's right!, That's true!	a politician, a charmer	charmed, high fiving	bar, charity event, coffee shop	
composing	composing music, music, a keyboard, a composer	music, a keyboard	singing, listening	recording studio, jazz club, recording booth, record label office, music festival	
drinking	drinking , a beer	beer	slurping, sipping, catering	bar, garden party, sports bar	
toasting	making a toast, a soft drink, a drink, a beverage	a beverage	slurping, sipping, catering	bar, garden party, sports bar, charity event	
embracing	embracing, a greeting, a hug, an embrace		greeting	welcome mat, city street, community centre	
enchanting	to cast a spell, magic, a magician, a miracle, a magic wand	a magic wand	charmed, brainwashed, indicating	city of towers, city on a hill, dark city, tower tops, dream world	
enticing	the sense of taste	cake, a piece of cake	catering	restaurant, coffee shop	
sweet	sweet, dessert	icecream, a dessert	enticing	restaurant, coffee shop	
feeding	to feed a baby	a baby bottle	regaining consciousness	living room, dining room, playground	
freeing	to free, a lock, a key, a lock and key, a chain, chains	chains, a lock, a key	chained, imprisoned	dungeon, police state	
guiding	a guide, a tour guide	an umbrella	dispatched	dublin, estonia, europe, florence duomo, frankfurt, pisa, St. Basil's cathedral, tower bridge, the hermitage	
handshaking	a handshake	a handshake	shaking hands	negotiating table	
shaking hands	to shake hands	a handshake	handshaking	negotiating table	
high fiving	a high five, a good mood,  hello	a high five	greeting, indicating, charming	garden party, graduation ceremony, interview room	
inspired	a lightbulb, idea	a lightbulb	impressed, high fiving	drawing board, psychiatrist office	
inspiring	to inspire, inspiration	a lightbulb, If	indicating, impressed, praising	rainbow, meditation garden, science fair	
introducing flipped	introducing  a friend		greeting, charming, massaging	red carpet event, charity event, fashion show, music festival	
tweeting	tweeting, social media	a tweet, a text message	posing	red carpet event	
introducing	an introduction	an introduction	greeting, charming, massaging	red carpet event, charity event	
joy	joy, happiness, happy, I'm happy, I'm satisfied	an embrace, a hug, at last	embracing, shaking hands	charity event, garden party, winners podium, music festival, christmas market	
kissing	kissing, blowing a kiss	a kiss, lips	embracing	balcony, bedroom, garden, office party	
listening	the sense of hearing	an ear	composing, singing	recording booth, recording studio	
listening	listening	ears	questioning	newsroom, radio station, conference room	
loving	loving, love	a heart	charmed, holding flower	balcony, sunset over the mountains, sunny field, picnic, garden	
massaging	massaging	a massage, hands	embracing, posing	bedroom, meditation garden, locker room	
opening box	opening a box	a box, an open box	impressed, questioning	psychiatrist office	
painting	a work of art, painting a picture	a painting, a picture, an artist, paint, colours	posing, nude, confident	art studio, museum	
photographing	taking a picture, a photographer, taking a photo	a camera, a photograph	posing, nude, confident	fashion show, hollywood	
photographing	taking a picture	a photographer	posing, charming, biting flower	rome, parthenon, paris, red carpet event, charity event	
pitching	pitching a ball, baseball	a pitcher, a baseball	batting	school courtyard, sports field, school sportsfield	
batting	playing baseball, baseball	a baseball bat	pitching	school courtyard, sports field, school sportsfield	
biting flower	going on a date, a lover	a flower	holding flower	balcony, courtyard, restaurant exterior	
praising	to praise, feeling positive, upbeat	praise, two thumbs up, Yes, Right answer!	high fiving, charming, indicating	statue, school hallway	
promoting	a helping hand	a ladder	stepping up	rooftop garden, charity event	
purposeful	a purpose, moving ahead	a direction, that direction	introducing	obstacle course, stage curtains	
recruiting	recruiting, a recruiter	a clipboard, a pencil	handshaking, shaking hands	tech office, office desk	
stroking cat	stroking a cat, a cat lover, an animal lover, a villain	a cat, a white cat, a pet	chuckling	secret bunker, launchpad, secure area	
saluting	saluting, loyalty	a salute	towering, confident, commanding	military base, pentagon	
minion	a minion, saluting	a salute, a knife	towering, confident, commanding	secret bunker, secure area, control room	
ironic	irony, ironic, a hypocrite, in disguise	a mask, a false face, a disguise	chuckling, embarrassed, laughing	comedy club, psychiatrist office	
